movie_clean,anger,disgust,fear,joy,neutral,sadness,surprise,sentiment_score,dominant_emotion,dominant_strength
All About Eve,0.06075075409607962,0.038418468122836204,0.04963400251290295,0.24020694939536041,0.32823404783848675,0.021484466025140137,0.26127130603417753,0.22207342684268952,neutral,0.32823404783848675
Amadeus,0.06721039415569977,0.0351662052620668,0.007727092831919436,0.5056628978345543,0.2328745709499344,0.017481526639312506,0.13387730263639241,0.9091062068939209,joy,0.5056628978345543
American Beauty,0.03607836136361584,0.06220707736792974,0.049733892403310165,0.37209829514613374,0.22771271362435072,0.09936805267352611,0.15280160915572197,0.38312834203243257,joy,0.37209829514613374
American History X,0.1707796633709222,0.14078435499686748,0.02769065901520662,0.09429981881839922,0.2827110065263696,0.06643020710907876,0.09230426845897455,-0.8196792155504227,neutral,0.2827110065263696
Amélie,0.1400808971375227,0.21561540451107752,0.04185525701743447,0.1175847593953626,0.36092511585189235,0.02701846354951461,0.0969200846221712,0.07527015606562297,neutral,0.36092511585189235
Apocalypse Now,0.11900212652981282,0.09128162326524034,0.05302495954092592,0.03878551170055289,0.5754626478534192,0.028287107311189174,0.0941560287377797,0.1912197768688202,neutral,0.5754626478534192
Avengers: Endgame,0.02603572384105064,0.07607814494986087,0.12473497350583784,0.07610401972779073,0.3509273362345994,0.15724018160253764,0.18887962593580596,-0.3245742440223694,neutral,0.3509273362345994
Avengers: Infinity War,0.0783509275293909,0.039334554004017266,0.04478107372997329,0.09403604094404727,0.31165458909235894,0.10442430840921588,0.32741852273466066,-0.006891670823097229,surprise,0.32741852273466066
Back to the Future,0.021498999663162977,0.03571078091626987,0.012026793535915204,0.45205874698003756,0.30142624462023376,0.06602479721186683,0.11125364042818546,0.7102311491966248,joy,0.45205874698003756
Barry Lyndon,0.010735849459888414,0.045442674271180296,0.031617255399760326,0.44580541648902,0.1664362940005958,0.16299099431489594,0.13697151455562562,0.7217555701732635,joy,0.44580541648902
Batman Begins,0.015210498101077973,0.01741234217188321,0.023654182138852776,0.24250240020919592,0.4378250427544117,0.04946330537786707,0.21393223004415632,0.5269405782222748,neutral,0.4378250427544117
Before Sunrise,0.02588038832764141,0.09764213900780305,0.020926922696526164,0.36583989309147,0.2661594610661268,0.019868359004613013,0.20368281263508833,0.6905124098062515,joy,0.36583989309147
Before Sunset,0.024040615186095238,0.01381593570113182,0.020828023552894592,0.031125977635383606,0.7120983004570007,0.08193255215883255,0.11615850776433945,-0.9921457171440125,neutral,0.7120983004570007
Ben-Hur,0.0711550488253124,0.08364549599355087,0.01869245578418486,0.2375199666596018,0.31724307578988376,0.028932042047381402,0.24281191268237307,-0.109807351231575,neutral,0.31724307578988376
Bicycle Thieves,0.008844794116966013,0.013220144138257537,0.03825540992720225,0.3771467473168202,0.24730506020218687,0.13037660886550806,0.18485122416340918,0.6535749634106954,joy,0.3771467473168202
Blade Runner,0.015373210806865245,0.023409847688162698,0.007329464645590633,0.30933490928728136,0.31515789213590323,0.028507323213852943,0.3008873577229679,0.9544410169124603,neutral,0.31515789213590323
Braveheart,0.04381046612979844,0.10319414660625625,0.03275044272595551,0.4229904683015775,0.32022556179435924,0.040104505547787994,0.03692442690953612,0.5024879202246666,joy,0.4229904683015775
Capernaum,0.05764629353652708,0.04269822413043585,0.07044294136867393,0.2875499691814184,0.11072929027723148,0.2833518698113039,0.1475814121309668,0.6938479274511338,joy,0.2875499691814184
Casablanca,0.2100008726119995,0.2879893204995564,0.1523242167064122,0.04587475636175701,0.2610009014606476,0.03596213912325246,0.006847800321078726,-0.9894356557301113,disgust,0.2879893204995564
Casino,0.06526864771149121,0.04167874759878032,0.1627129057131242,0.19724832188221625,0.22743422512430697,0.14700134869199247,0.15865579360397533,0.18913522362709045,neutral,0.22743422512430697
Catch Me If You Can,0.04020501546910964,0.06172887446009554,0.011198326395242476,0.3846832397161052,0.31417891346500254,0.05835941508412361,0.12964622573927045,0.6871252745389939,joy,0.3846832397161052
Chinatown,0.009668995829997584,0.06064658411487471,0.018042631482239814,0.39440098296618087,0.3280576251447201,0.04580991645343602,0.14337327145040035,0.7211943238973617,joy,0.39440098296618087
Cinema Paradiso,0.026766820147167893,0.05026844713356695,0.026221639206050897,0.3292616832535714,0.26422381729353217,0.21354900691658257,0.08970858987886458,0.793126255273819,joy,0.3292616832535714
Citizen Kane,0.01877552697745462,0.01731315044889925,0.004830498127072739,0.2790831121480248,0.4829494673758745,0.05191599218718087,0.14513226365670562,0.22657524049282074,neutral,0.4829494673758745
City Lights,0.02622396989027038,0.047080026063486005,0.026065732911229135,0.47226181526784783,0.24446333921514452,0.024733128491789103,0.15917196366935968,0.4256208837032318,joy,0.47226181526784783
City of God,0.4396160840988159,0.490593820810318,0.0040896679274737835,0.004040374420583248,0.026619713753461838,0.027727898210287094,0.007312409579753876,-0.9988238215446472,disgust,0.490593820810318
Come and See,0.048912685248069465,0.10399160685483366,0.11071232825925108,0.1753606371465139,0.28384869936853646,0.0151039689197205,0.2620700596831739,-0.019684487581253053,neutral,0.28384869936853646
Dangal,0.05817743655643426,0.023895311169326305,0.028597811513463967,0.3437982468283735,0.2222662085434422,0.07742344004218467,0.24584153839387,0.303531214594841,joy,0.3437982468283735
Das Boot,0.07785122409695759,0.2005478259176016,0.013491373250144535,0.03061500934418291,0.5749026785604656,0.019354272354394197,0.08323760448838584,-0.3793420821428299,neutral,0.5749026785604656
Dead Poets Society,0.044476955133723094,0.04530019536032341,0.021014495690178592,0.32985226322780364,0.17767241726396604,0.1402760597935412,0.2414076062850654,0.8023387372493744,joy,0.32985226322780364
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,0.10827754928031937,0.013070067482476588,0.06831806741538457,0.3726156870252453,0.20271872838493438,0.15468586382921784,0.08031403092318215,-0.07688032388687134,joy,0.3726156870252453
Demon Slayer: Kimetsu no Yaiba- The Movie - Infinity Castle,0.09026790573261678,0.03197440241347067,0.11170854042720749,0.2363335771020502,0.34063876601867377,0.030009714531479402,0.15906709951814263,-0.15788708329200746,neutral,0.34063876601867377
Dial M for Murder,0.07333756983280182,0.13692079484462738,0.08634541928768158,0.08405181765556335,0.5312128663063049,0.06326767057180405,0.024863893166184425,0.6248420476913452,neutral,0.5312128663063049
Die Hard,0.06965023127268069,0.03979107583581935,0.028535556013230233,0.28560938469599934,0.2906288307160139,0.028109857096569612,0.25767506633419546,0.5064518421888351,neutral,0.2906288307160139
Django Unchained,0.018220430484507232,0.032550948299467565,0.08034690929926,0.3750412152032368,0.28378013451583683,0.0222652833443135,0.18779508403968065,0.7974905878305435,joy,0.3750412152032368
Double Indemnity,0.05273383061576169,0.08407107988605275,0.05762691028066911,0.29417933805380014,0.2591026318958029,0.025305859302170573,0.22698035864159466,0.7993927419185638,joy,0.29417933805380014
Downfall,0.02014516722119879,0.11325217236299068,0.07309466412407346,0.060304950250429104,0.2821434071054682,0.3483035375538748,0.10275608114316129,0.0007692664861679077,sadness,0.3483035375538748
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0.04174944038968533,0.10526250946568325,0.009034220047760754,0.2165598014020361,0.3680349327391014,0.016394689818844198,0.2429644083371386,0.6852744907140732,neutral,0.3680349327391014
Drishyam,0.03225704628275707,0.05566574643598869,0.040337061960599385,0.285321298846975,0.4464279910782352,0.052936247061006726,0.08705461686768104,-0.3832510471343994,neutral,0.4464279910782352
Dune: Part Two,0.05927905520527727,0.13125624294237545,0.032585355808906674,0.18057834080213475,0.4068594194120831,0.026106056886621647,0.16333553346339613,-0.4009654058350457,neutral,0.4068594194120831
Eternal Sunshine of the Spotless Mind,0.056063599287881516,0.039464999640767925,0.08879696732328739,0.20126218718942254,0.20525765996426343,0.3468334440723993,0.06232113593723625,0.3962322950363159,sadness,0.3468334440723993
Fargo,0.059071094618411736,0.147258141473867,0.06389369109529071,0.3436891777382698,0.24854680483695119,0.027454262843821197,0.11008683638647199,0.3306247115135193,joy,0.3436891777382698
Fight Club,0.019709040538873523,0.02207238592673093,0.013323091866914183,0.26846501489635555,0.34857577057555317,0.08525035404600204,0.24260434871539474,0.8046019941568374,neutral,0.34857577057555317
For a Few Dollars More,0.014519337436649949,0.010401027632178738,0.009263010165886954,0.42289290484040976,0.37047606958076357,0.03382207885151729,0.1386255552759394,0.8024013578891754,joy,0.42289290484040976
Ford v Ferrari,0.10297544614586514,0.06530309958616272,0.022700431832345203,0.15840556734474376,0.40892406010534615,0.11470621883636341,0.12698517807584722,0.1065472960472107,neutral,0.40892406010534615
Forrest Gump,0.10436045321403072,0.051133443201251794,0.018409746847464704,0.24396717321360484,0.24634896554634905,0.10900703453226016,0.22677319201175122,0.5796847641468048,neutral,0.24634896554634905
Full Metal Jacket,0.013146872399374843,0.004629223374649882,0.0030163354240357876,0.10166317783296108,0.3571052700281143,0.01797454641200602,0.5024645626544952,-0.008941799402236938,surprise,0.5024645626544952
Gangs of Wasseypur,0.017076320218620822,0.026885588391451165,0.021071155453682877,0.26904626897885464,0.5136339776217937,0.05826555588282645,0.09402113407850266,-0.16904114931821823,neutral,0.5136339776217937
Gladiator,0.05976815734175034,0.06747287559846882,0.08807363540108781,0.3057219920970965,0.2791307223960757,0.08716337408404798,0.11266923039220274,0.10285241603851318,joy,0.3057219920970965
Gone Girl,0.0893269521300681,0.06998082870850339,0.026577748672571032,0.3438254207489081,0.2899987844284624,0.03789100477006287,0.14239926910959183,0.3042970061302185,joy,0.3438254207489081
Gone with the Wind,0.0596268312074244,0.05110556455329061,0.018943630957801362,0.2898785654571839,0.2109710765304044,0.15820007413858547,0.21127425575396047,0.705533167719841,joy,0.2898785654571839
Good Will Hunting,0.0610392767121084,0.047392727009719235,0.03300832864479162,0.25518194237374703,0.3436861302703619,0.07325999839813449,0.18643158774357288,0.27550795376300813,neutral,0.3436861302703619
Goodfellas,0.0691825430193502,0.16424146369617018,0.03493771380615524,0.21952417883504596,0.25833029051621753,0.13234806534213325,0.12143575225491077,0.331580509742101,neutral,0.25833029051621753
Gran Torino,0.05574342608451843,0.018124235793948174,0.0017596600810065866,0.5465261340141296,0.2808607518672943,0.034513045102357864,0.06247273460030556,0.9994016885757446,joy,0.5465261340141296
Grave of the Fireflies,0.034019969496876,0.060244951798813416,0.09111192544514779,0.06204426340991631,0.305487732461188,0.3837850213749334,0.06330615607439541,0.26190012097358706,sadness,0.3837850213749334
Green Book,0.02994608666995191,0.0751875513124105,0.03936358009377727,0.24153349319385597,0.2837043140316382,0.036366022075526416,0.2938989618560299,0.25481826066970825,surprise,0.2938989618560299
Hachi: A Dog's Tale,0.07149631214062017,0.139977002715958,0.04597048767443214,0.17562942592693226,0.47475875092537273,0.04008369500349675,0.052084337221458554,-0.6609923584120614,neutral,0.47475875092537273
Hacksaw Ridge,0.03253779901424423,0.03162753832875751,0.05661989031068515,0.18573792648967355,0.30420299640391024,0.05994934068294242,0.27932449961081146,0.33908591270446775,neutral,0.30420299640391024
Hamilton,0.03305649360960448,0.08035435527869451,0.01474728908904485,0.23578177011375756,0.25508455789991114,0.10268580388449329,0.278289730795414,0.02615119908985339,surprise,0.278289730795414
Harakiri,0.006104347528889775,0.008286259835585952,0.003481011255644262,0.631872832775116,0.2527896299337347,0.006555952597409487,0.09090994934861858,0.9996688763300577,joy,0.631872832775116
Harry Potter and the Deathly Hallows: Part 2,0.02455531096784398,0.039959982695290816,0.0675398959661834,0.31699448321014645,0.2230250957654789,0.09371699045877904,0.2342082158284029,0.08716577589511872,joy,0.31699448321014645
