movie_clean,anger,disgust,fear,joy,neutral,sadness,surprise,sentiment_score,avg_user_rating,dominant_emotion,dominant_strength
12 Angry Men,0.12814309492707252,0.08433949581347405,0.06893298706039787,0.0939812414511107,0.4391519022546709,0.017691668537445367,0.16775960518047214,0.613828330039978,9.318181818181818,neutral,0.4391519022546709
12 Years a Slave,0.09452252343297005,0.24710985275916755,0.11716270610690117,0.07186491758096963,0.2711718714609742,0.09198126971721649,0.10618685647845268,0.43508946418762207,8.130434782608695,neutral,0.2711718714609742
12th Fail,0.02773864851333201,0.05415511118946597,0.029398095016367733,0.41424809606047347,0.2667269415035844,0.10810087405145169,0.09963223013095558,0.7658028507232666,9.24,joy,0.41424809606047347
1917,0.02059478569077328,0.1601682164333761,0.0691093715862371,0.248734163363697,0.2908959779329598,0.05079745863331482,0.1597000281466171,0.5884105777740478,8.44,neutral,0.2908959779329598
2001: A Space Odyssey,0.04704358596121892,0.06230042709270492,0.1701345549407415,0.15621031619608403,0.32602624939754604,0.06919053149409592,0.16909431487787516,0.37505468130111697,8.454545454545455,neutral,0.32602624939754604
3 Idiots,0.02888658769894391,0.0650294731510803,0.11173404105938971,0.445742416549474,0.1865076304040849,0.0809172169212252,0.08118265029974282,0.7451788377761841,8.565217391304348,joy,0.445742416549474
A Beautiful Mind,0.052466629380360244,0.10480187010020017,0.08085919375298545,0.17359908760525286,0.4126633265055716,0.06319483031984419,0.11241506590042263,0.5968749046325683,8.0,neutral,0.4126633265055716
A Clockwork Orange,0.04323707168921828,0.32298847103491424,0.22296544563490897,0.11772704528644681,0.14135026561096312,0.08187699208967388,0.06985470195766538,0.10731477499008178,8.26086956521739,disgust,0.32298847103491424
A Separation,0.04351874677464366,0.10652502358425409,0.07938323551788926,0.21982263387646525,0.2670407583191991,0.06813737681601197,0.2155722259078175,0.44903586626052855,8.772727272727273,neutral,0.2670407583191991
A Silent Voice: The Movie,0.03026616836199537,0.11664246218279004,0.1182898129406385,0.20995138689875603,0.18875203780829908,0.2389117570174858,0.09718637821264565,0.6808880281448364,8.083333333333334,sadness,0.2389117570174858
Alien,0.010771024227142333,0.0560074556840118,0.41784827039577066,0.10295242072781548,0.17293648837134243,0.03638225766364485,0.203102100007236,0.5961548590660095,8.826086956521738,fear,0.41784827039577066
Aliens,0.020193300291430204,0.0588081749912817,0.3633987056091428,0.08873828285140917,0.30343894673045724,0.10352271166630089,0.06189986454322934,0.45033080101013184,8.695652173913043,fear,0.3633987056091428
All About Eve,0.03696363437920809,0.0797275190288201,0.0644379243568983,0.17146083373576404,0.44555979408323765,0.0985008820425719,0.10334942092187703,0.5562300753593444,8.565217391304348,neutral,0.44555979408323765
Amadeus,0.0487632261402905,0.1649425173830241,0.019608705334831028,0.22058681194204838,0.2817447207868099,0.12097873092163354,0.1433752840384841,0.472264358997345,8.695652173913043,neutral,0.2817447207868099
American Beauty,0.05598712258506566,0.11191578303502563,0.06027237119269557,0.15892071692602863,0.3368795338707666,0.13801550245746816,0.13800897634549378,0.695629745721817,8.695652173913043,neutral,0.3368795338707666
American History X,0.07864297931082546,0.18526939483359456,0.13037175341974944,0.11323832348920405,0.27208478635177014,0.03205287939868867,0.1883398735988885,0.5945154118537903,9.043478260869565,neutral,0.27208478635177014
Amélie,0.034323888591025024,0.03893991444259882,0.14694649087497966,0.4922055482119322,0.10836295722052455,0.015396848218515516,0.16382435006089507,0.8053284549713134,8.521739130434783,joy,0.4922055482119322
Apocalypse Now,0.09793557385758807,0.2217479062625595,0.1746195229983035,0.07503206106775906,0.23224393972971788,0.09548164713972558,0.10293934990962346,0.5410783365368843,8.863636363636363,neutral,0.23224393972971788
Avengers: Endgame,0.0626373326134247,0.20522755462783002,0.035536343614997655,0.23692894478638968,0.20101731575171775,0.09040986917292078,0.1682426519158374,-0.15730519344409308,8.26086956521739,joy,0.23692894478638968
Avengers: Infinity War,0.02587553743738681,0.07953768057283014,0.0506808133982122,0.31735057273413986,0.32796292869374155,0.04459125421009958,0.15400120683014393,0.761856062412262,9.12,neutral,0.32796292869374155
Back to the Future,0.020322165354155004,0.044329488212242724,0.04205725549487397,0.4578967397520319,0.30323969943448903,0.049648909480310977,0.08250575565733015,0.7559512281417846,9.0,joy,0.4578967397520319
Barry Lyndon,0.03301836983882822,0.18540545797441155,0.03736166064724481,0.0765212055509134,0.46890356081227463,0.0929633101914078,0.10582643992772016,0.3972328131397565,8.318181818181818,neutral,0.46890356081227463
Batman Begins,0.04130407366901636,0.07533209382090718,0.14555114293470978,0.12551390100969,0.4456566732004285,0.06698856583796442,0.09965354941086843,0.4296167492866516,8.347826086956522,neutral,0.4456566732004285
Before Sunrise,0.02262719695456326,0.10874243906699121,0.029074742280645296,0.35118965050671247,0.37181120544672014,0.027529281750321388,0.08902550033060834,0.6076311683654785,8.217391304347826,neutral,0.37181120544672014
Before Sunset,0.02362749577499926,0.050647566029801964,0.10360375294927508,0.17075389622710646,0.3456455608829856,0.1633817633613944,0.14233996907249094,0.38661784410476685,8.217391304347826,neutral,0.3456455608829856
Ben-Hur,0.05959320100024343,0.1182866648491472,0.03690955880796537,0.18138851271010936,0.4190999114140868,0.06658121339045465,0.11814094321802258,0.6082437109947204,8.608695652173912,neutral,0.4190999114140868
Bicycle Thieves,0.10280636261682957,0.1550502944830805,0.0909611623454839,0.041934375199489296,0.31307739242911337,0.24555319343693555,0.05061719340272248,0.6060612869262695,8.5,neutral,0.31307739242911337
Blade Runner,0.06359833686379716,0.13451087184716015,0.20342447295086458,0.09363063475582749,0.3019368006661534,0.08642678335309029,0.11647210576571525,0.4282994270324707,8.045454545454545,neutral,0.3019368006661534
Braveheart,0.11424137925729155,0.1139069175440818,0.03602915288414806,0.15850572053343057,0.35044590577483176,0.1175128157902509,0.1093581159459427,0.3972952842712402,8.347826086956522,neutral,0.35044590577483176
Capernaum,0.11550234810682014,0.262507485402748,0.043402617517858746,0.017277521886862813,0.1262443484738469,0.31598628636449577,0.11907938033342362,0.49516919136047366,8.217391304347826,sadness,0.31598628636449577
Casablanca,0.035642544645816086,0.14132881021127106,0.014037116896361113,0.19140023914864288,0.4035967506468296,0.060385085409507155,0.15360947130713612,0.6563349437713623,8.565217391304348,neutral,0.4035967506468296
Casino,0.02884779987856746,0.08062712064012885,0.06461123603396118,0.20110970919951796,0.5046492655575275,0.04660417851060629,0.07355068671051412,0.6810451769828796,8.64,neutral,0.5046492655575275
Catch Me If You Can,0.030648963449057192,0.06470898385159671,0.026141494129551576,0.32031030774116515,0.3825916117802262,0.013826702157966792,0.1617719437368214,0.5398969054222107,8.08695652173913,neutral,0.3825916117802262
Children of Heaven,0.013485716809518634,0.048261265656910836,0.05250332868890837,0.4889707346260548,0.23843603029847146,0.04775567182339728,0.11058727208524942,0.6785775017738342,8.875,joy,0.4889707346260548
