movie_clean,anger,disgust,fear,joy,neutral,sadness,surprise,sentiment_score,dominant_emotion,dominant_strength
Grave of the Fireflies,0.008025413273241033,0.09750579462640664,0.0167065577539192,0.09445383899252523,0.24078655124387957,0.521363210356371,0.021158631150187415,0.4075147347016768,sadness,0.521363210356371
Green Book,0.021601508464664222,0.0778324942511972,0.046076494397129866,0.06713273816276341,0.3038066575303674,0.09455798254348338,0.3889921034220606,-0.009530019760131837,surprise,0.3889921034220606
Hachi: A Dog's Tale,0.01704203352564946,0.2240998940076679,0.008240777545142918,0.10012243553064763,0.33439539223909376,0.30739587945863606,0.008703575190156698,0.9996557772159577,neutral,0.33439539223909376
Hacksaw Ridge,0.11673665042035282,0.14868106860667468,0.1456447630538605,0.07396204096730799,0.38378625698387625,0.11281996020115911,0.01836927452823147,0.23322713971138,neutral,0.38378625698387625
Hamilton,0.018037185072898865,0.02476695671211928,0.05576379786944017,0.18520945329219102,0.6159084022045136,0.01720655048266053,0.08310763277113438,0.963705986738205,neutral,0.6159084022045136
Harakiri,0.05172253376804292,0.47993429414927957,0.11504732323810458,0.022873297845944763,0.18235914390534164,0.09710789443925023,0.05095556773012504,0.21722258925437926,disgust,0.47993429414927957
Harry Potter and the Deathly Hallows: Part 2,0.03824018177110702,0.09163208057871089,0.09085148325539194,0.24935518195852638,0.22986104637384414,0.23014831487089396,0.06991170474793762,0.5534542918205261,joy,0.24935518195852638
Heat,0.10731380577199161,0.07436778324190527,0.05156490165973082,0.03300959041807801,0.37834649365395306,0.13992673894390464,0.2154706884175539,0.5419935464859009,neutral,0.37834649365395306
High and Low,0.06588101370090788,0.11623902792449702,0.06362573761196638,0.08247104062783447,0.4973388043316928,0.017385270023210483,0.157059108838439,0.6274992661042647,neutral,0.4973388043316928
Hotel Rwanda,0.009328946808818728,0.054406049789395186,0.08220410861831624,0.5925923139788211,0.17242201738990842,0.014289351785555482,0.07475719264475629,0.79899001121521,joy,0.5925923139788211
How to Train Your Dragon,0.0840789784444496,0.022540635347831996,0.060976490855682644,0.3342098366469145,0.2937164004892111,0.10506685301661492,0.09941079653799534,0.5996148824691773,joy,0.3342098366469145
Howl's Moving Castle,0.011618289080533114,0.10272184242917733,0.13649314001668245,0.1813380247913301,0.4174370115453547,0.03801322167485275,0.11237847561609339,0.6362162286585028,neutral,0.4174370115453547
Ikiru,0.02715856694849208,0.11837267722003161,0.0214937353215646,0.26911397885996846,0.2745501296594739,0.07294991509988905,0.21636098087765276,0.9565605998039246,neutral,0.2745501296594739
In the Name of the Father,0.31349218264222145,0.3116266308352351,0.09270834017079324,0.04142054666299373,0.17529910197481513,0.04756374722346664,0.01788941625854932,0.17824217081069946,anger,0.31349218264222145
Incendies,0.20150900720618664,0.08224405900109559,0.24205228770151735,0.05685857345815748,0.1976492644753307,0.06593511982355267,0.15375171680934727,0.3919105589389801,fear,0.24205228770151735
Inception,0.025178490811958908,0.10715796644799411,0.1275258373701945,0.09184145759791136,0.5427730184048414,0.018200396653264762,0.08732285676524043,0.3517214298248291,neutral,0.5427730184048414
Indiana Jones and the Last Crusade,0.0325314422476698,0.05450487344271757,0.0885302636412565,0.30931158406151965,0.3913276395337148,0.031470782821998,0.092323423193937,0.8140768137845126,neutral,0.3913276395337148
Inglourious Basterds,0.03654083888977766,0.09570560915480283,0.0922642662295733,0.17064562015531753,0.4305525350977074,0.09417142628014764,0.08011968317441642,0.4554007595235651,neutral,0.4305525350977074
Inside Out,0.06483171901199966,0.09510426978813484,0.029575208108872174,0.41469616529066117,0.32884146776050327,0.008603277057409287,0.05834790961816907,0.7921597361564636,joy,0.41469616529066117
Interstellar,0.013862747783687982,0.023816025519574232,0.06398345245344733,0.20572405600581656,0.5612928352572701,0.032784702933647415,0.09853616966442628,0.9448261206800287,neutral,0.5612928352572701
It's a Wonderful Life,0.013523208760571752,0.17769221070391888,0.15441020814151588,0.1454482959604568,0.34385250847448,0.12132001414217732,0.043753585714677516,0.43158885023810645,neutral,0.34385250847448
Jai Bhim,0.16867287941277026,0.4712520599365234,0.02927101943641901,0.021609845780767502,0.2843886261805892,0.017991603165864945,0.006813952978700399,0.6646472156047821,disgust,0.4712520599365234
Jaws,0.025577247763673466,0.028741338600715,0.47519061538494295,0.21178750100079924,0.23415612222419846,0.006237793920768632,0.01830937314985527,0.9747836589813232,fear,0.47519061538494295
Joker,0.1929891571868211,0.14404883896932005,0.05179436872713268,0.1270819152938202,0.30746215879917144,0.15623443452641367,0.020389118627645076,-0.016587167978286743,neutral,0.30746215879917144
Judgment at Nuremberg,0.09400792212479493,0.36692701701328834,0.1643593557475304,0.08787543524522334,0.23813005481761965,0.022696777268058875,0.026003446694548158,0.2806413227861578,disgust,0.36692701701328834
Jurassic Park,0.009430809306319465,0.02028075796128674,0.3226111376954412,0.19938105892982672,0.32554604011503135,0.04288211657496339,0.07986808619038625,0.7949271852319891,neutral,0.32554604011503135
Kill Bill: Vol. 1,0.06598465779626911,0.12369826395826583,0.19265605623579837,0.06789842772890221,0.48608135034076194,0.01006192925640128,0.05361929757054895,-0.2462549155408686,neutral,0.48608135034076194
Klaus,0.0827396641834639,0.14587147424463182,0.07469817099045031,0.25495318302419034,0.29958637841045854,0.12267942589242012,0.019471733074169606,0.17876081466674804,neutral,0.29958637841045854
L.A. Confidential,0.04705960426310247,0.2016132925425402,0.09854361886920576,0.125909036279402,0.38211686231873254,0.07474241204644469,0.07001515583727848,0.3230683153325861,neutral,0.38211686231873254
La haine,0.2156937382183969,0.17033136850222946,0.15690073668956755,0.07274886684026569,0.24352395609021188,0.12629853850230574,0.014502804062794894,0.7890188276767731,neutral,0.24352395609021188
Lawrence of Arabia,0.03189549100881612,0.03744578467343341,0.060700046152553776,0.16643222167410635,0.4657988323068077,0.16555858564309098,0.07216905103996396,0.4218567230484702,neutral,0.4657988323068077
Life Is Beautiful,0.025900964212434537,0.10698893763632937,0.02322075692725114,0.4832089020108635,0.2399653706868941,0.09027786421674219,0.030437207738445562,0.9759787104346536,joy,0.4832089020108635
Like Stars on Earth,0.03520844437562945,0.06784683151636273,0.014521594037598168,0.2521486394107342,0.40089611658318475,0.12575433659367263,0.10362402684139935,0.7914094979112799,neutral,0.40089611658318475
"Lock, Stock and Two Smoking Barrels",0.025341230571608652,0.050680023745041,0.030189160675614734,0.25185384980233555,0.38600466095588426,0.035289162981577894,0.22064194066280668,0.14276006005027078,neutral,0.38600466095588426
Logan,0.05601944644004107,0.09616372217424214,0.06657947595231235,0.06823855484835803,0.45793499872088433,0.15504447384737433,0.10001933744642884,0.9889228820800782,neutral,0.45793499872088433
Léon: The Professional,0.067106289005923,0.13926871015097608,0.031475405166433615,0.18304962728341873,0.4136118797416037,0.13511735228398306,0.030370741193606096,0.46140802990306506,neutral,0.4136118797416037
M,0.02122065154835582,0.1861898999311961,0.3595226546516642,0.04068494422826916,0.2245890852762386,0.042527356918435545,0.12526540770195424,0.18293364048004152,fear,0.3595226546516642
Mad Max: Fury Road,0.05876832869835198,0.13663972313515843,0.04055909257149324,0.096954017248936,0.3458200417459011,0.14110830544959754,0.18015047231456266,0.0049315690994262695,neutral,0.3458200417459011
Maharaja,0.02737436278257519,0.08157802920322865,0.0885098302969709,0.2534199871122837,0.36730502396821973,0.010270350775681437,0.1715424157679081,0.9552651584148407,neutral,0.36730502396821973
Mary and Max,0.011699841939844191,0.1575966817792505,0.004599232558393851,0.4068416544236243,0.33570693377405403,0.04008540604263544,0.04347020772984252,0.6495086491107941,joy,0.4068416544236243
Memento,0.06531664924696087,0.10804374432191252,0.1285804497078061,0.034114433103241026,0.46267559099942446,0.04477903760271147,0.15649009672924877,0.27416152954101564,neutral,0.46267559099942446
Memories of Murder,0.03742350253742188,0.11469246863853186,0.20569593627005817,0.11933886252809316,0.29112152438610794,0.033177320333197716,0.1985503654112108,0.7956418812274932,neutral,0.29112152438610794
Metropolis,0.020584877603687345,0.04866165242274292,0.17337034284719266,0.15239503770135343,0.4356797864660621,0.09083989303326234,0.07846840545535087,0.6266244649887085,neutral,0.4356797864660621
Million Dollar Baby,0.01757332753040828,0.07394139781827107,0.09240417417604477,0.22812114325352012,0.34147571958601475,0.16059349668212236,0.0858907298068516,0.8012408196926117,neutral,0.34147571958601475
Modern Times,0.01171013223938644,0.11378163332119584,0.05830850644799119,0.22345589473843575,0.4938391081311486,0.06415093994953415,0.034753784092820504,0.4999340284954418,neutral,0.4938391081311486
"Monsters, Inc.",0.012554038409143686,0.0643718799808994,0.38479953361675145,0.20746431252919137,0.26139469975605606,0.010342663247138261,0.059072898630984125,0.5653842389583588,fear,0.38479953361675145
Monty Python and the Holy Grail,0.021123238373547792,0.12478137058629231,0.004955364020795308,0.26309264688329265,0.4972304200584238,0.017001121982254765,0.07181583776731383,0.25660396164113825,neutral,0.4972304200584238
Mr. Smith Goes to Washington,0.03070410550571978,0.08673817885573953,0.03781562858493999,0.25397735938895494,0.24725373671390116,0.20234900559298694,0.14116200059652328,0.44978500008583067,joy,0.25397735938895494
My Father and My Son,0.027927650179481133,0.1612319629639387,0.015261000645114108,0.12005518645746634,0.13282146072015166,0.5302390403114259,0.012463725614361465,0.9936543762683868,sadness,0.5302390403114259
My Neighbor Totoro,0.007802843884564936,0.010151971084997057,0.03452007356681861,0.5493000685237348,0.3155147278681397,0.04027808529790491,0.042432207125239076,0.9706609725952149,joy,0.5493000685237348
Network,0.18427787208929658,0.09832791179152471,0.1495444047863462,0.14693517267837056,0.2421336801988738,0.141121400137698,0.03765955204809351,0.986578277179173,neutral,0.2421336801988738
No Country for Old Men,0.018511641781184484,0.13743532906201752,0.09078173970126292,0.09856009976515039,0.37417844869196415,0.18289968456056985,0.09763303409669209,0.09384879740801724,neutral,0.37417844869196415
North by Northwest,0.013229976006021554,0.022344642382284455,0.05362242730122737,0.3301192472096194,0.41324130970646034,0.00864388685758141,0.15879850216548552,0.4850166602568193,neutral,0.41324130970646034
Oldboy,0.14376526325941086,0.10653290590271354,0.024025699601043015,0.08533993440796621,0.2992832185700536,0.11160512678325177,0.22944785866420717,0.763811218738556,neutral,0.2992832185700536
On the Waterfront,0.09495424591004849,0.25266890935599806,0.03952120114117861,0.030674534605350346,0.4269702859222889,0.1437709091929719,0.01143988425610587,0.36979869604110716,neutral,0.4269702859222889
Once Upon a Time in America,0.04315766899592497,0.1156536058776758,0.030891579618169504,0.12818233333316378,0.36202051219615067,0.22944801548411223,0.09064626531802457,0.3069880658929998,neutral,0.36202051219615067
Once Upon a Time in the West,0.021881910421970217,0.05889225298200141,0.21292880627284336,0.16235910298895428,0.4341906515712088,0.03727447910403663,0.07247282649305734,0.631414689800956,neutral,0.4341906515712088
One Battle After Another,0.059364603451368486,0.10908803951249203,0.11521961108188737,0.06680911646055226,0.5357226343317465,0.08378298944708976,0.030013001058250666,0.47589273344386707,neutral,0.5357226343317465
